[Ep 92] Threat: -5.59, Dist: -6.65, Survive: 3.61, HP: -5.00, End: -1.52, Final: -14.66, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 93] Threat: -6.80, Dist: -7.14, Survive: 2.09, HP: -5.00, End: -1.72, Final: -18.08, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 94] Threat: -4.43, Dist: -6.09, Survive: 5.81, HP: -5.00, End: -1.23, Final: -10.44, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 95] Threat: -5.54, Dist: -4.52, Survive: 2.82, HP: -5.00, End: -1.62, Final: -13.36, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 96] Threat: -7.00, Dist: -5.04, Survive: 1.50, HP: -5.00, End: -1.80, Final: -16.84, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 97] Threat: -5.21, Dist: -7.27, Survive: 3.53, HP: -5.00, End: -1.53, Final: -14.99, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 98] Threat: -5.83, Dist: -4.51, Survive: 4.33, HP: -5.00, End: -1.42, Final: -11.93, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 99] Threat: -6.01, Dist: -4.10, Survive: 3.32, HP: -5.00, End: -1.56, Final: -12.84, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 100] Threat: -2.22, Dist: -3.82, Survive: 2.95, HP: -5.00, End: -1.61, Final: -9.20, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 101] Threat: -4.43, Dist: -4.83, Survive: 4.92, HP: -5.00, End: -1.34, Final: -10.19, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 102] Threat: -5.85, Dist: -7.69, Survive: 2.76, HP: -5.00, End: -1.63, Final: -16.91, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 103] Threat: -4.82, Dist: -4.41, Survive: 2.11, HP: -5.00, End: -1.72, Final: -13.34, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 104] Threat: -7.09, Dist: -6.36, Survive: 1.98, HP: -5.00, End: -1.74, Final: -17.70, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 105] Threat: -3.33, Dist: -4.10, Survive: 3.55, HP: -5.00, End: -1.53, Final: -9.91, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
